epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,491.402,1.3744,1.2586,1.02281,0.45939,0.37304,0.36924,0.22144,1.31464,1.03105,1.00887,0.000237832,0.000237832,0.000237832
2,989.003,1.36263,1.09628,1.02089,0.47759,0.39323,0.399,0.24264,1.30427,1.01912,1.00475,0.000466411,0.000466411,0.000466411
3,1491.57,1.36728,1.08281,1.02188,0.517,0.40082,0.41585,0.25203,1.29836,0.99812,1.00509,0.000685565,0.000685565,0.000685565
4,1987.81,1.34008,1.03282,1.0113,0.51061,0.41829,0.43013,0.26183,1.27727,0.97989,0.99859,0.000671588,0.000671588,0.000671588
5,2487.08,1.31939,0.98729,1.00247,0.53933,0.43363,0.45472,0.27566,1.27913,0.93475,0.99574,0.000657451,0.000657451,0.000657451
6,2987.55,1.29989,0.96353,0.99748,0.54151,0.45615,0.46668,0.28782,1.24006,0.91055,0.98159,0.000643314,0.000643314,0.000643314
7,3490.63,1.29118,0.94233,0.99093,0.56583,0.45837,0.47835,0.29516,1.2381,0.89199,0.98373,0.000629177,0.000629177,0.000629177
8,3993.03,1.28487,0.92995,0.98821,0.56531,0.45485,0.48265,0.29782,1.23405,0.89335,0.98134,0.00061504,0.00061504,0.00061504
9,4497.82,1.27294,0.90383,0.98244,0.57422,0.46904,0.49616,0.30922,1.21788,0.87007,0.9735,0.000600902,0.000600902,0.000600902
10,5002.12,1.26656,0.89477,0.98095,0.56656,0.48421,0.49595,0.31123,1.20104,0.8761,0.96739,0.000586765,0.000586765,0.000586765
11,5507.65,1.25626,0.88033,0.97461,0.579,0.47691,0.50141,0.31036,1.21219,0.85892,0.96924,0.000572628,0.000572628,0.000572628
12,6012.76,1.25022,0.86757,0.97476,0.58709,0.4906,0.51328,0.32069,1.2001,0.85915,0.96961,0.000558491,0.000558491,0.000558491
13,6520.32,1.2377,0.85411,0.96839,0.59343,0.48902,0.5175,0.32184,1.19576,0.83873,0.96609,0.000544354,0.000544354,0.000544354
14,7022.98,1.23,0.83937,0.96813,0.6026,0.50127,0.52608,0.33052,1.18865,0.83323,0.9626,0.000530216,0.000530216,0.000530216
15,7531.68,1.21925,0.82996,0.96282,0.60755,0.50719,0.53329,0.33497,1.18445,0.82192,0.96173,0.000516079,0.000516079,0.000516079
16,8044.32,1.22075,0.82569,0.96205,0.61033,0.51298,0.53561,0.33546,1.18337,0.81241,0.96137,0.000501942,0.000501942,0.000501942
17,8555.76,1.212,0.81475,0.96146,0.62615,0.51143,0.54148,0.33924,1.18139,0.81273,0.95822,0.000487805,0.000487805,0.000487805
18,9065.88,1.20444,0.80101,0.95667,0.61669,0.49814,0.53577,0.33826,1.17201,0.81114,0.95989,0.000473668,0.000473668,0.000473668
19,9578.22,1.20619,0.79917,0.95613,0.6279,0.50694,0.5439,0.34381,1.16666,0.79661,0.95753,0.00045953,0.00045953,0.00045953
20,10083.9,1.20057,0.79412,0.951,0.62769,0.51295,0.54674,0.34852,1.16642,0.79625,0.95508,0.000445393,0.000445393,0.000445393
21,10594,1.18953,0.7787,0.95067,0.61228,0.50809,0.54088,0.34336,1.17332,0.80145,0.95396,0.000431256,0.000431256,0.000431256
22,11101.4,1.197,0.77812,0.94917,0.62367,0.50766,0.54254,0.34219,1.17029,0.80209,0.95582,0.000417119,0.000417119,0.000417119
23,11612.7,1.18342,0.76804,0.94941,0.6336,0.51421,0.55407,0.34891,1.16533,0.78735,0.9534,0.000402982,0.000402982,0.000402982
24,12126.4,1.18795,0.76584,0.9459,0.61882,0.52242,0.54962,0.34589,1.17138,0.78794,0.95326,0.000388844,0.000388844,0.000388844
25,12637.5,1.17909,0.75576,0.94437,0.63876,0.51524,0.55451,0.35251,1.15998,0.78117,0.95206,0.000374707,0.000374707,0.000374707
26,13149.6,1.17029,0.74663,0.94162,0.62914,0.52936,0.55875,0.35437,1.16112,0.77857,0.95251,0.00036057,0.00036057,0.00036057
27,13661.2,1.17229,0.74275,0.9414,0.63312,0.52391,0.55742,0.35491,1.16158,0.77786,0.9512,0.000346433,0.000346433,0.000346433
28,14169.5,1.16736,0.73608,0.94035,0.63213,0.52566,0.56146,0.35598,1.16573,0.77721,0.95089,0.000332296,0.000332296,0.000332296
29,14681.4,1.15743,0.72327,0.93951,0.6178,0.53011,0.55986,0.35508,1.16008,0.77229,0.95104,0.000318158,0.000318158,0.000318158
30,15199.7,1.15763,0.72262,0.93717,0.62925,0.53847,0.5654,0.35843,1.1569,0.77177,0.94898,0.000304021,0.000304021,0.000304021
31,15712.3,1.15237,0.71942,0.93489,0.63186,0.53464,0.56792,0.36098,1.1517,0.7662,0.94616,0.000289884,0.000289884,0.000289884
32,16227.4,1.14615,0.7119,0.93199,0.64089,0.52854,0.56124,0.35745,1.15441,0.76547,0.94921,0.000275747,0.000275747,0.000275747
33,16740,1.14528,0.70273,0.93449,0.64415,0.53375,0.56776,0.36162,1.14762,0.76253,0.94477,0.00026161,0.00026161,0.00026161
34,17251.6,1.13325,0.69357,0.92931,0.63951,0.53333,0.56916,0.35968,1.15502,0.76407,0.94763,0.000247472,0.000247472,0.000247472
35,17764.9,1.13164,0.6853,0.92891,0.64253,0.53881,0.5693,0.36035,1.15249,0.76373,0.94727,0.000233335,0.000233335,0.000233335
36,18274,1.13528,0.68164,0.9276,0.62823,0.54396,0.56781,0.36087,1.14847,0.76253,0.945,0.000219198,0.000219198,0.000219198
37,18784,1.12319,0.67341,0.92451,0.63337,0.53897,0.5678,0.36104,1.14954,0.75735,0.94608,0.000205061,0.000205061,0.000205061
38,19292.9,1.11898,0.66825,0.92453,0.63554,0.54159,0.56997,0.36239,1.14974,0.7587,0.94697,0.000190924,0.000190924,0.000190924
39,19801.9,1.11907,0.6621,0.92429,0.64467,0.53367,0.5718,0.36371,1.14692,0.75494,0.94443,0.000176786,0.000176786,0.000176786
40,20311.6,1.11258,0.65567,0.92455,0.64579,0.53863,0.5733,0.36474,1.14794,0.75818,0.94437,0.000162649,0.000162649,0.000162649
41,20812.1,1.10051,0.63949,0.92726,0.6351,0.54213,0.56982,0.36289,1.15074,0.75825,0.94757,0.000148512,0.000148512,0.000148512
42,21312.1,1.09049,0.62426,0.92605,0.6384,0.54167,0.57093,0.3636,1.15104,0.75655,0.94803,0.000134375,0.000134375,0.000134375
43,21814.1,1.08892,0.62044,0.92461,0.64528,0.53611,0.56882,0.36281,1.15389,0.75867,0.94837,0.000120238,0.000120238,0.000120238
44,22315.9,1.08589,0.61482,0.92342,0.64311,0.53623,0.56795,0.36119,1.15576,0.75944,0.94883,0.0001061,0.0001061,0.0001061
45,22816.9,1.07821,0.60532,0.92183,0.63747,0.5397,0.56816,0.36146,1.15244,0.75973,0.94926,9.19632e-05,9.19632e-05,9.19632e-05
46,23315.6,1.07739,0.60056,0.91984,0.64514,0.53845,0.56867,0.36279,1.15158,0.76177,0.94885,7.7826e-05,7.7826e-05,7.7826e-05
47,23813.1,1.06847,0.59359,0.91912,0.64152,0.53792,0.56759,0.36097,1.15573,0.76248,0.94855,6.36888e-05,6.36888e-05,6.36888e-05
48,24310.6,1.06809,0.58961,0.91647,0.65294,0.52921,0.56511,0.35943,1.15392,0.76352,0.9491,4.95516e-05,4.95516e-05,4.95516e-05
49,24811.1,1.06043,0.58057,0.91511,0.65055,0.53415,0.56735,0.36154,1.15287,0.76202,0.94824,3.54144e-05,3.54144e-05,3.54144e-05
50,25320.5,1.05871,0.57843,0.91363,0.6439,0.53862,0.56797,0.36237,1.15123,0.76152,0.94775,2.12772e-05,2.12772e-05,2.12772e-05
