epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.706,1.38213,1.32978,1.0026,0.47346,0.38601,0.38474,0.2297,1.30908,1.03037,0.99017,0.000237665,0.000237665,0.000237665
2,524.477,1.35525,1.07843,0.99164,0.49088,0.39053,0.40067,0.243,1.32014,1.02261,0.98817,0.000466247,0.000466247,0.000466247
3,800.208,1.35535,1.05427,0.99433,0.48049,0.39426,0.39573,0.23841,1.32111,1.02293,0.98736,0.000685404,0.000685404,0.000685404
4,1079.17,1.33943,1.02481,0.98689,0.51957,0.42879,0.43727,0.26766,1.27795,0.96496,0.97979,0.000671588,0.000671588,0.000671588
5,1355.88,1.32848,0.98591,0.98063,0.54183,0.42596,0.45298,0.27803,1.27918,0.94588,0.97549,0.000657451,0.000657451,0.000657451
6,1628.47,1.30531,0.95659,0.97611,0.5287,0.43635,0.45592,0.27685,1.26527,0.94256,0.96903,0.000643314,0.000643314,0.000643314
7,1900.26,1.30327,0.94663,0.9693,0.55867,0.45155,0.47337,0.29215,1.26083,0.92408,0.97183,0.000629177,0.000629177,0.000629177
8,2172.43,1.28751,0.92566,0.969,0.55829,0.45317,0.47246,0.29057,1.25256,0.91283,0.97104,0.00061504,0.00061504,0.00061504
9,2441.65,1.27591,0.90349,0.96321,0.56757,0.45835,0.48351,0.30051,1.24238,0.89488,0.96344,0.000600902,0.000600902,0.000600902
10,2712.16,1.27161,0.89347,0.96162,0.57715,0.48047,0.49477,0.30862,1.23727,0.88805,0.96129,0.000586765,0.000586765,0.000586765
11,2984.51,1.25989,0.87489,0.95739,0.5683,0.46299,0.48137,0.29662,1.23749,0.89035,0.96169,0.000572628,0.000572628,0.000572628
12,3251.67,1.25433,0.86733,0.95547,0.56345,0.47329,0.49051,0.30702,1.23546,0.87456,0.95797,0.000558491,0.000558491,0.000558491
13,3520.07,1.24989,0.85918,0.95363,0.60158,0.47143,0.50822,0.31338,1.23005,0.86484,0.95731,0.000544354,0.000544354,0.000544354
14,3786.28,1.24006,0.8495,0.95112,0.57749,0.47604,0.50108,0.31484,1.21289,0.87325,0.95226,0.000530216,0.000530216,0.000530216
15,4052.13,1.23357,0.84292,0.9479,0.58882,0.48313,0.51012,0.31713,1.22061,0.85624,0.95203,0.000516079,0.000516079,0.000516079
16,4316.55,1.22913,0.826,0.94533,0.59843,0.48107,0.51205,0.31809,1.21592,0.85803,0.95123,0.000501942,0.000501942,0.000501942
17,4579.68,1.22614,0.82234,0.94481,0.60705,0.49284,0.52438,0.3254,1.20821,0.83625,0.95024,0.000487805,0.000487805,0.000487805
18,4841.84,1.22972,0.82003,0.94511,0.59641,0.49346,0.52015,0.32484,1.20938,0.83885,0.95084,0.000473668,0.000473668,0.000473668
19,5101.86,1.21513,0.80406,0.94156,0.59342,0.50392,0.52749,0.32982,1.19965,0.83923,0.94645,0.00045953,0.00045953,0.00045953
20,5364.28,1.20942,0.79603,0.93933,0.60474,0.49608,0.52675,0.33234,1.19446,0.82918,0.94405,0.000445393,0.000445393,0.000445393
21,5624.5,1.20918,0.7936,0.93829,0.59742,0.50409,0.52514,0.32849,1.21019,0.83137,0.94637,0.000431256,0.000431256,0.000431256
22,5881.29,1.20982,0.78579,0.93537,0.60521,0.48696,0.52387,0.33217,1.20025,0.82657,0.94418,0.000417119,0.000417119,0.000417119
23,6137.73,1.19487,0.77423,0.9356,0.61097,0.49862,0.53007,0.33481,1.19314,0.82121,0.94388,0.000402982,0.000402982,0.000402982
24,6395.9,1.19344,0.76987,0.9316,0.61981,0.49887,0.53382,0.33599,1.19931,0.81669,0.94655,0.000388844,0.000388844,0.000388844
25,6658.19,1.19389,0.76718,0.93182,0.60701,0.50404,0.53541,0.33497,1.20153,0.82169,0.9466,0.000374707,0.000374707,0.000374707
26,6923.52,1.19423,0.75882,0.92892,0.62352,0.49843,0.53935,0.33813,1.19674,0.8104,0.94457,0.00036057,0.00036057,0.00036057
27,7196.72,1.17377,0.74708,0.92596,0.60721,0.5062,0.53345,0.33567,1.18928,0.8207,0.94322,0.000346433,0.000346433,0.000346433
28,7472.77,1.17367,0.74542,0.92511,0.60764,0.50623,0.53279,0.33419,1.18893,0.81647,0.94052,0.000332296,0.000332296,0.000332296
29,7754.68,1.17319,0.73744,0.9256,0.61713,0.51551,0.54156,0.34164,1.19119,0.80987,0.94221,0.000318158,0.000318158,0.000318158
30,8041.46,1.16836,0.7284,0.92475,0.63079,0.50974,0.54427,0.34211,1.1896,0.80544,0.94066,0.000304021,0.000304021,0.000304021
31,8335.06,1.1626,0.72378,0.92326,0.62386,0.50936,0.54447,0.34296,1.18382,0.79954,0.94077,0.000289884,0.000289884,0.000289884
32,8627.33,1.15609,0.71326,0.92093,0.60885,0.52436,0.54311,0.3421,1.18813,0.79902,0.94166,0.000275747,0.000275747,0.000275747
33,8924.06,1.15599,0.71327,0.91919,0.62061,0.51467,0.54371,0.34082,1.18646,0.79885,0.93878,0.00026161,0.00026161,0.00026161
34,9223.94,1.15629,0.70586,0.91809,0.61884,0.51923,0.54767,0.34441,1.1827,0.79466,0.94109,0.000247472,0.000247472,0.000247472
35,9520.87,1.15256,0.70045,0.91899,0.62603,0.52318,0.54696,0.34479,1.18915,0.79512,0.93928,0.000233335,0.000233335,0.000233335
36,9821.28,1.14508,0.69415,0.91541,0.61873,0.52108,0.54856,0.34491,1.18403,0.7948,0.93957,0.000219198,0.000219198,0.000219198
37,10124.7,1.13444,0.6849,0.91342,0.61148,0.52415,0.54679,0.34557,1.18257,0.7938,0.94071,0.000205061,0.000205061,0.000205061
38,10427.1,1.1279,0.67702,0.91393,0.62707,0.51618,0.54669,0.3444,1.18862,0.79746,0.94189,0.000190924,0.000190924,0.000190924
39,10736.3,1.13599,0.67799,0.91387,0.63091,0.51657,0.54811,0.34524,1.18339,0.79447,0.94133,0.000176786,0.000176786,0.000176786
40,11047.8,1.12831,0.67193,0.91162,0.62496,0.51309,0.54739,0.34519,1.18451,0.79249,0.94146,0.000162649,0.000162649,0.000162649
41,11354.3,1.11456,0.65348,0.9201,0.62891,0.51083,0.54385,0.34319,1.1868,0.79566,0.94147,0.000148512,0.000148512,0.000148512
42,11661.8,1.10468,0.6393,0.91462,0.62578,0.51956,0.54778,0.34583,1.185,0.79338,0.93974,0.000134375,0.000134375,0.000134375
43,11973.4,1.10151,0.63444,0.91373,0.62534,0.51768,0.54776,0.34451,1.18773,0.79378,0.94025,0.000120238,0.000120238,0.000120238
44,12285.5,1.09712,0.62912,0.91229,0.63095,0.51162,0.54551,0.34407,1.18939,0.79718,0.94218,0.0001061,0.0001061,0.0001061
45,12599.1,1.08831,0.62093,0.90974,0.62234,0.51699,0.54684,0.34491,1.18521,0.79618,0.94016,9.19632e-05,9.19632e-05,9.19632e-05
46,12915.7,1.08634,0.61329,0.90723,0.62428,0.52658,0.54916,0.34585,1.18683,0.79582,0.94049,7.7826e-05,7.7826e-05,7.7826e-05
47,13234.4,1.07902,0.61009,0.90592,0.61953,0.52177,0.54876,0.34561,1.189,0.79556,0.94017,6.36888e-05,6.36888e-05,6.36888e-05
48,13553.7,1.0765,0.60325,0.90492,0.62522,0.51627,0.54584,0.3452,1.18541,0.79578,0.93996,4.95516e-05,4.95516e-05,4.95516e-05
49,13875.5,1.07285,0.59827,0.90514,0.62235,0.52075,0.54694,0.3451,1.18549,0.79518,0.94041,3.54144e-05,3.54144e-05,3.54144e-05
50,14189.6,1.06731,0.59396,0.90308,0.63132,0.51554,0.54795,0.34628,1.18508,0.7968,0.93957,2.12772e-05,2.12772e-05,2.12772e-05
