epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.123,1.68894,2.17404,1.06016,0.2975,0.25416,0.21888,0.12508,1.52949,1.39652,1.02519,0.000237581,0.000237581,0.000237581
2,163.025,1.58775,1.50789,1.02074,0.31542,0.30219,0.26658,0.15504,1.47043,1.28022,1.00904,0.000466164,0.000466164,0.000466164
3,242.321,1.55455,1.39244,1.01358,0.35118,0.32367,0.2856,0.16534,1.46367,1.26263,1.0047,0.000685323,0.000685323,0.000685323
4,321.713,1.51703,1.31097,1.00302,0.39085,0.32094,0.30152,0.17724,1.44951,1.20503,0.99952,0.000671588,0.000671588,0.000671588
5,403.567,1.50971,1.274,0.99977,0.39458,0.33394,0.31229,0.18425,1.43213,1.17542,0.9925,0.000657451,0.000657451,0.000657451
6,486.27,1.49115,1.2241,0.99608,0.41686,0.34086,0.33182,0.19415,1.41564,1.15616,0.99016,0.000643314,0.000643314,0.000643314
7,569.784,1.48495,1.2025,0.98953,0.42454,0.34926,0.33516,0.19539,1.41587,1.14702,0.98843,0.000629177,0.000629177,0.000629177
8,654.269,1.46321,1.17512,0.98601,0.43304,0.35564,0.34695,0.20579,1.40615,1.11292,0.98121,0.00061504,0.00061504,0.00061504
9,737.958,1.45666,1.16169,0.98217,0.4306,0.3538,0.34034,0.20163,1.40263,1.10893,0.98181,0.000600902,0.000600902,0.000600902
10,823.341,1.46737,1.15806,0.98446,0.44553,0.36471,0.35716,0.212,1.3824,1.10278,0.97725,0.000586765,0.000586765,0.000586765
11,908.15,1.44894,1.13065,0.97795,0.44022,0.37003,0.36048,0.21552,1.37488,1.07534,0.97564,0.000572628,0.000572628,0.000572628
12,993.388,1.43502,1.1103,0.97651,0.46327,0.36205,0.36694,0.22001,1.37992,1.06627,0.97489,0.000558491,0.000558491,0.000558491
13,1080.17,1.43348,1.11057,0.97563,0.45401,0.3743,0.37075,0.22019,1.36811,1.07138,0.96968,0.000544354,0.000544354,0.000544354
14,1166.55,1.43016,1.09558,0.97476,0.46256,0.37905,0.37953,0.22757,1.36378,1.05272,0.97036,0.000530216,0.000530216,0.000530216
15,1252.66,1.41921,1.08431,0.9715,0.48734,0.36982,0.3786,0.22693,1.36307,1.05256,0.97011,0.000516079,0.000516079,0.000516079
16,1339.75,1.42049,1.07826,0.97035,0.48678,0.37904,0.38026,0.22703,1.37579,1.05598,0.9729,0.000501942,0.000501942,0.000501942
17,1426.41,1.40948,1.06809,0.9676,0.45772,0.38575,0.37978,0.22834,1.36283,1.0463,0.96858,0.000487805,0.000487805,0.000487805
18,1514.07,1.42132,1.069,0.9678,0.46116,0.38593,0.38437,0.23049,1.36109,1.03952,0.96848,0.000473668,0.000473668,0.000473668
19,1614.94,1.40757,1.05581,0.96448,0.48075,0.38519,0.38853,0.23475,1.35303,1.03029,0.96843,0.00045953,0.00045953,0.00045953
20,1735.17,1.4138,1.0564,0.96553,0.47919,0.38532,0.39363,0.23631,1.34429,1.02008,0.96318,0.000445393,0.000445393,0.000445393
21,1859.96,1.40131,1.04825,0.96424,0.4783,0.38439,0.39229,0.238,1.34373,1.02526,0.96285,0.000431256,0.000431256,0.000431256
22,1942.95,1.39816,1.03992,0.961,0.48569,0.3915,0.39778,0.24187,1.34618,1.01789,0.96562,0.000417119,0.000417119,0.000417119
23,2028.07,1.40026,1.04114,0.96217,0.49195,0.38902,0.3968,0.2377,1.35318,1.02033,0.96643,0.000402982,0.000402982,0.000402982
24,2112.72,1.38818,1.02626,0.96059,0.504,0.39331,0.40415,0.24104,1.35275,1.00677,0.9664,0.000388844,0.000388844,0.000388844
25,2209.91,1.38597,1.01683,0.95852,0.50617,0.39259,0.40615,0.24577,1.33732,1.00273,0.96328,0.000374707,0.000374707,0.000374707
